,Name,Review_raw,Overall,Food,Service,Ambiance
231,HelenaH,Delicious!!! Crab cakes out of this world and great ambience.,5,5,5,5
232,JanR,"Excellent food, perfectly cooked and presented.  Servers were top notch and ensured that we had everything we needed.  The corner booth made conversation easy.",5,5,5,5
233,EdwardK,If you start with the oysters you can't go wrong.  And the special dessert is always an amazing experience .  and in between was all terrific too.,5,5,4,4
234,OpenTable Diner,Excellent food and service. Will definitely return,5,5,5,5
235,MarshaD,Food and service were amazing. Would return every day if I could.,5,5,5,5
236,wamstad,"Great lunch. We loved the salmon tart snd  the green salad. We were able to have a nice long conversation because they did not rush us along. Also, they served biscotti with our after lunch coffee.  Very nice touch",5,5,4,5
237,HilaryO,"Fabulous place…great food, good service…good noise level…very welcoming:)",5,5,5,5
238,MRJR,"Bring lots of cash! Nice menu, delicious food and attentive service. We did not appreciate the 4% added charge for paying with a credit card.  The restaurant could do a better job of informing their clientele in advance of their fee policy since it is not the norm and most people don’t carry alot of cash. Even more preferable would be to modestly increase their prices to cover the fee and offer a discount for cash.",4,5,5,4
239,SeekingQuality,"Excellent food, very high prices, server too busy to provide excellent attention.",5,5,4,5
240,MichaelP,"Food was terrific.  Service was a bit slow at times but overall very nice and generally efficient.  Overall, I will go there again!",4,5,4,4
241,Mexicogood,The food was — as expected— delicious and interesting.    Unobtrusive service allowed us to chat and visit without missing anything.  Excellent overall,5,5,5,4
242,FrankP,Addies Mussels are the best in Washington DC The fish is always consistently fresh and cooked with perfection . Great wine selection . The grilled Octopus is also one of my favorites as well . Nicely charred on each side . Just after dinner your stomach will tell you to return again and again as i have done. As a native Washingtonian i can tell you to visit and enjoy the greatness,5,5,5,5
243,RoyceC,"Enjoyed another lunch with a good friend. We’ve been there several times before and have always enjoyed the experience. Good food, excellent service with pleasant environment. What else could would ask?",5,5,5,5
244,Ginger,"Black Salt is the perfect place for foodies to lunch.
We enjoyed French Onion Soup, Lobster Roll and Fresh Fish.
All delicious!  Service is wonderful.Highly recommend.",5,5,5,5
245,OpenTable Diner,Best neighborhood bar and restaurant in DC. Excellent seafood and kids menu!,5,5,4,5
246,DavidP,Great dinner to celebrate a birthday.  Thank you.,5,5,5,5
247,AtomicTraveler93,Amazing seafood and great staff. We went for and early dinner reservation and ended up enjoying great Happy Hour specials at the bar instead. Looking forward to many more visits!,5,5,5,5
248,OpenTable Diner,An annual office gathering- always delicious and fun! We love Black Salt!,5,5,5,5
249,NB41,"Excellent choices of food , quality, and service. Prices have risen and it is at high end for restaurants of its kind.",5,5,5,5
250,Smith,"Always an excellent experience…period!

Here are some other words to make my review long enough to be accepted.",5,5,5,5
251,OpenTable Diner,"excellent in al areas, food taste, service, maybe the only thing was that the seay in the back part wasnt that confortable",5,5,5,4
252,DianeC,Our favorite restaurant in the city and fortunately walking distance for us. Food is always great and the vibe is just right,5,5,5,5
253,OpenTable Diner,"I called to ask if my reso could be changed from 5:15 to 5:30 and the host happily accommodated me. I requested a quiet table and was seated in the wine cellar where lovely jazz music was playing lightly in the background. On arrival to the table, the gracious host took my coat and checked it for me, which I appreciated. While the chairs are comfy and the tables are spacious, the room could use a change in lighting and/or decor to switch the vibe from buttoned up corporate to intimate private dining. But quiet it was!

The service throughout our meal was caring but not overbearing; present but not hovering. Drink orders were quickly filled and the flow of the courses was perfect. 

Everything we ate was delicious and fresh. You really can’t go wrong with any of the menu selections. Everything was seasoned well and cooked perfectly. The coconut desert special was a delectable ending to a delightful night. 
Thanks to all at BlackSalt!",5,5,5,5
254,OpenTable Diner,"Absolutely beyond fist class experience! Stellar caviar, Krug, stone claws, octopus, and the BEST clam chowder ❤️",5,5,5,5
255,VincentD,Overall a very pleasant experience.  Fish is excellent if a bit pricy.  Strongly recommend if you enjoy quality seafood.  (Service was professional and friendly).,5,5,5,4
256,OpenTable Diner,"We had the most delicious desserts. Our waiter was very knowledgeable about the menu.

As old time diners at Black Salt, we miss the set menu that was before; one entree and choice of glass of wine or dessert for a set price.",5,5,5,5
257,OpenTable Diner,"We had a wonderful dinner here - the cocktails were imaginative and tasted great, the food was wonderful and the service was exceptional. It certainly made up for a poor experience at another restaurant the night before. Highly recommend",5,5,5,5
258,McLean,Food was delicious as always and the staff was exceptionally helpful with our gluten free guest—lots of options!  Dessert was divine!  Server was a pleasure!,5,5,5,5
259,Emily,we were celebrating two birthdays.  it was a great and fun night.  delicious food.  great drinks and excellent service.  server was kind polite and helpful with suggestions.,5,5,5,5
260,FeliciaB,"Food and service excellent, as always.  Thank- you",5,5,5,5
261,Farnbody,The food is consistently good but the prices are high.,4,5,5,4
262,OpenTable Diner,Celebrated my birthday and management and Erik were beyond my expectations. Everything from the champagne to the Halibut to the Key Lime Pie was delicious. Thank you Erik. Thank you Black Salt!!,5,5,5,5
263,OpenTable Diner,Always excellent food and great service—a class act.,5,4,5,5
264,GailW,"First table, a booth, was in a noisy area. Restaurant nicely accommodated moving us to a quieter table. Good food. Good service.",5,5,5,4
265,OpenTable Diner,Food very good. Dessert really fantastic. Not thrilled with the cc fee (bring cash?),5,5,5,4
266,OpenTable Diner,Thai mussels and  Addie’s mussels were delicious. Entrees all fish dishes excellent.  Butterscotch dessert excellent.  Best bottles of wine.  My Friday night go too..,5,5,5,5
267,EdwardG,Top notch seafood in an environment that is increasingly chaotic. Service ranged from indifferent to ignorant...there is no.contest to see who can fill a wine glass the highest. Prices have become ridiculous. $25 appetizer and >$50 entree and then the nerve to add a 4% credit card fee. Obnoxious beyond belief. Why add $15 to a $400 bill? It all shows how impervious DC residents are to these accumulated slights.,4,5,1,3
268,davidw,"We all had Caviar with Champagne ,then we had a seafood cocktail and for our entree we all had Dover sole with a nice. Montrachet",4,4,5,4
269,AnyaR,Love it had blast. The service was great no complaints.,5,5,5,5
270,PeteM,"The martinis were excellent, the food was very good, and the service was excellent. It does get a bit noisy. It would good to include new things on the menu more often.",5,5,5,4
271,Benk,"Second time we dined here in two months, something we almost never do. Menu had changed in the meantime, but both times we were delighted beyond expectations with very tasty and creative dishes, including dessert. I believe we are going to become ""regulars"" here for our date nights!",5,5,5,4
272,ArveH,Excellent fresh seafood and great service. Oysters were outstanding!,5,5,5,4
273,Sabrina2,Waiter and Maitre de exceptionally attentive. Excellent all around.,5,5,5,5
274,OpenTable Diner,"The food, service, and ambience were great as usual. We have been going here for years and expect to continue.",4,5,5,5
275,Isafoodenthusiast,"BlackSalt makes any occasion a special occasion. Consistently out of this world delicious food - if sardines are on the menu, go for them. they were excellent.",5,5,5,5
276,Dinner42,"Always consistently wonderful. Food is beautiful and beautifully cooked. Fish is pristine. Service flawless.
Always happy here!",5,5,5,5
277,SuzyS,What has gone wrong?! So disappointed in a recent dining experience at Blacksalt. I have been dining at this restaurant with my family for years and always have had excellent meals and impeccable service. Tonight that was far from the case—food was in some cases borderline inedible. Service was poor to average and the prices exorbitant. Will be awhile before I return.,2,1,3,3
278,Mari,"Consistently wonderful! Great service, great food, easy access.",5,4,5,5
279,KatyKeats,"We've been eating at Black Salt for years. The food is always excellent, but something has gone wrong with the food service since the pandemic. The wait for food and drinks orders is far too long, and given that we've now experienced it several times it seems fair to say there is a consistent problem. We were there at 7 pm on a Friday. Maybe that's where we went wrong. We won't book at that time again.",3,4,2,3
280,David,"The food was excellent, the staff was friendly and knowledgeable.",5,5,4,4
281,mattj,"Simply wonderful, seafood, steak, drinks and service were perfect.",5,5,5,4
282,AliceB,Don’t miss this place.  It is outstanding. Fabulous food and service.,5,5,5,5
283,mikeb,The back room is wonderful and a excellent place to have a wonderful date.,5,5,5,5
284,OpenTable Diner,"My fiancé and I were visiting from Arizona, a state that unfortunately lack’s of good quality seafood. Dinning at BlackSalt was a truly amazing experience, from the amazing impeccable service to the top quality seafood. JJ recommended amazing wines by the glass for us and the whole team was very welcoming and just amazing in every front of service.
I highly recommend to anyone visiting to come try this amazing jam!!!!",5,5,5,5
285,DeborahB,"Yay fresh Pacific Northwest oysters which I love! A great riff on clam chowder. My husband loved the fish tacos. A nice little birthday lunch with unobtrusive, good service.",5,5,5,5
286,TeddyMac56,"Hadn't been back for lunch in a while but found food and staff to be as good as I recalled. Menu changes are a given, but saw some old friends (clam chowder and mussels) remained. Fish tacos were excellent and a nice change of pace for me.",4,4,4,4
287,OpenTable Diner,"Great food, excellent service (thank you Devin), pleasant ambiance for our anniversary. Looking forward to coming back.",5,5,5,5
288,john,"As always, Black Salt is a great neighborhood gem!",4,4,4,4
289,MattyeP,"The main plus was the service.  The servers were attentive. Since the restaurant came so very highly recommended, we expected more from the food.  The photos on the reservation site are enticing, so we expected a great experience.  However, my order was disappointing.  The lobster roll was served on a buttery toasted croissant which made the sandwich too sweet and greasy.  The romaine lettuce in the vegetable salad did not appear to be fresh.  The salad was edible because of the poached apples and caramelized pecans.  If I ever returned to this restaurant, I would not order these items.",2,1,3,3
290,DrewB,Great service and staff and food. Will was our waiter and he did a great job to help celebrate my wife’s birthday.,5,5,5,5
291,hoya18,"Overall a disappointment!  We have dined at Black Salt for years but our experience fell far short this time. It used to be a go-to spot for special occasions with family and friends but don’t think if is worthy of that any more. The atmosphere was more noisy neighborhood bistro than fine dining yet the prices were very high.  There was a child seated in a stroller in the middle of the main dining room shrieking most of the evening and service was slow.  People at tables around us were even talking to us and others about the shrieking child with oblivious parents ruining their very expensive meal.  We spoke to both the waiter and manager twice about the situation and were told “sorry, nothing we can do” and “they are regulars” as if that made it okay for them to ruin everyone else’s experience.  No offer to move us to another table, comp our wine, dessert, anything. Very surprising and disappointing as they were aware of the situation, knew it was unacceptable yet chose to do nothing despite ample opportunity.",3,3,3,1
292,Lisay,Both excellent a lovely evening and a beautiful setting,5,5,5,5
293,OttoM,Food was ok. The room was freezing which adversely impacted the ambience and the enjoyment of the food. Service was just ok.,4,5,4,3
294,OpenTable Diner,Physician assistant week,5,5,5,5
295,MargoH,"The food, as always, was excellent, as was the service.  We appreciate being able to eat in a quiet restaurant and not have to yell to be heard. Wonderful meal.",5,5,5,5
296,OpenTable Diner,"We love dining here and hadn’t been in a while. We were so thrilled with every aspect of our dinner last night! We had a dear friend in town and talked it up a bit and she said it was beyond what we had described.

There are not enough stars because you deserve more!!",5,5,5,5
297,JustChasetheMoo,"Although we always enjoyed the old menu, the new chef and menu exceeded our expectations. The crab cakes were phenomenal! Great service and drinks as always.",5,5,5,5
298,MarieD,"What a great experience. Firstly, the restaurant was QUIET! We didn’t have to speak louder to hear one another and that was needed after not having seen my friend in over 5 years. The food was delicious. It was presented beautifully and piping hot upon arrival.",5,5,5,5
299,OpenTable Diner,"This staff went above and beyond to make our mile￼stone birthday group dinner a fun celebration. They presented a customized happy birthday menu, and delivered a little birthday cake surprise for dessert. Cocktails and food were delicious. Service was impeccable. Will definitely be dining at BlackSalt again.",5,5,5,5
300,john,"As always, great experience all the way around--food, service, ambiance--a neighborhood gem.",5,5,5,5
301,JerriH,Always a great experience. Fabulous food and great service!!  Blacksalt is our go to spot and we love taking friends from out of town to one of our favorite places.,5,5,5,5
302,OpenTable Diner,"Fantastic restaurant!  The food was super fresh, and seasoned to perfection.  The drinks were equally great.  We’ll be back!",5,5,5,5
303,HaleyK,"I used to love Black Salt. I found the my lobster roll extremely pricy for the value.
The waiter was overwhelmed.
I’ll certainly try again because a restaurant such as Black Salt is not about one time",3,2,3,3
304,OpenTable Diner,I visit was phenomenal. This staff and the host were incredible. The food was the best food that I have had in months and years.,5,5,5,5
305,SachaJ,"The team here works very hard to make sure you enjoy your meal. The meal was very fair and basic. This place has been around for a long time and I think is over rated. The crab cakes, which is very basic seemed like they came off an assembly line and the key lime dessert, like it came out of a box.

Its like time stopped in BlackSalt and there are so many better choices for the money.",3,2,3,3
306,Undercover,"Grilled calimari lacked much calimari, and the sauce was too thick; calimari taste was not all that evident.   Fried clams were barely warm enough, and here, too, the taste  was almost indistinct.   The Pemequid oysters were great.   So, for this restaurant, it was kind of an off-experience.   But we will be back.",3,3,4,5
307,Rozer,"I dined with a friend I was hoping to treat, and we were so disappointed. We each ordered two dishes and said we were fine with them all coming at once. Nearly an hour passed between the delivery of his hummus and my salad and our other orders. We asked REPEATEDLY  about our other dishes, were assured they were on their way, and then nothing. There was plenty of staff on site but nobody cared enough to see it through. ... My salad was limp and tasteless, the hummus was watery and nearly flavorless. And at these prices? Nope, not going back.",2,2,1,3
308,JohnK,Overall great time. I've been to BlackSlat many times. And the food and drinks are always excellent. The service is always a miss or hit. Though services keeps a par level. They also were kind of enough to let us stay almost 45mins past closing. Again there service is always at par or better.,5,5,4,5
309,OpenTable Diner,We loved it from start to finish! They allowed us to bring in our special wine for a reasonable corkage fee ($25). Our favorite Reuben egg rolls are always the best way to start!!!,5,5,5,5
310,OpenTable Diner,Loved it! We ate there 20 years ago when we were college students and the food was just as good today as it was then!,5,5,5,5
311,GarrettM,Our go-to celebration spot where the food and drinks and ALWAYS delicious,5,5,4,4
312,PietroF,"Food absolutely excellent.
And service impeccable",5,5,5,5
313,Christina,"A friend told me the grilled calamari were exception at Black Salt.  I've always eaten Addie's Mussels, so my friend and I ordered the calamari for a change.  They were saturated in olive oil, too greasy for my taste.",3,2,3,5
314,Biltmoredude,"Great find, we'll be back!  We went specifically for the fried clams, and that was not on the brunch menu, but the chef made them for us regardless...  Perfect birthday brunch!",5,5,5,4
315,syhs,The Black Restaurant Group does not disappoint and BlackSalt was a treat.,5,5,5,5
316,OpenTable Diner,What a great night! Our waiter was extremely attentive and the food was delicious. They made a special menu for our 15 year anniversary which was so thoughtful.,5,5,5,5
317,Georgia,"Staff most disagreeable with request to changing table.  Originally placed next to serving station.  Wine by the glass menu poor. Overall, very bad attitude (with 2 exceptions) from staff.  Disagreeable experience",1,3,1,3
318,Date,Our server was very solid. The food was pretty good but the price was very high.,4,3,5,3
319,OldDog,"Never have I been disappointed with a Black Salt experience. Delicious, gracious and professional in all ways.",5,5,5,4
320,Sandy,Outstanding food and service. Calamari and bronzino were delicious and beautifully plated.,5,5,5,5
321,BRYANM,We went for restaurant week lunch. Everyone in our party thought the food was wonderful. For the price $25 three courses it was an excellent value,5,5,5,4
322,GaryGall,"Excellent all around! Great value, great food and great service.",5,5,5,5
323,GlennK,"We had an excellent anniversary dinner. We were welcomed with menus that noted our celebration,  a nice touch. We enjoyed our drinks and food. Both the fish and scallops were perfectly prepared. Service was attentive but not too much so.",5,5,5,4
324,KathleenD,This was our first time dining at BlackSalt and the seafood preparation was excellent. Each course held it's own and combined was a dining delight!,5,5,5,4
325,AlwaysLFF,"Wonderful food quality, incredible mussels and beautiful desserts",5,5,5,5
326,NancyW,"Everything was perfect - food, service, setting.  Best clam chowder ever!",5,5,5,5
327,DanielM,"They did not honor my reservation request, made well in advance for a late lunch, of a table in a quiet location. I have a severe hearing handicap. We were seated at an extremely noisy table near the bar.",5,4,4,2
328,maria,Calamari was great and so was the branzino! The flourless chocolate dessert was the favorite of the group.,5,5,5,5
329,Janet,"Their restaurant week lunch menu is EXCELLENT. The selections were great, the food was perfectly prepared, and the portions generous.  Don't miss it!",5,5,5,5
330,lizbetht,Great dining experience....the service was amazing and the food was amazing. Will definitely return!,5,5,5,5
331,KathyR,This was a wonderful dining experience. Food was delicious and service and atmosphere were exceptional.,5,5,5,5
332,Mari,Great restaurant! Consistently excellent. Our go to for birthday celebrations.,5,5,5,5
333,OpenTable Diner,"I’ve been to Black Salt for HH and walk-in dining, but had no idea and was pleasantly surprised they had a fine dining experience in the back of the restaurant! What a special treat! Also appreciated that our dishes—while shared—were separated so we each had our own plates!",4,4,4,4
334,Dallasd,"Great place and amazing food!
Will come back soon
Food and desert were great!",5,5,5,4
335,PTJPTJ,The food here never disappoints.  I started with a peach salad and moved on to the clam chowder and halibut.  I finished with butterscotch pot de creme.  Drinks were refilled promptly.,5,5,4,4
336,ronaldd,"The food is so fresh, the staff was so attentive. Best seafood I've had in DC. A must experience",5,5,5,5
337,PhilipK,"Good food and service, but very pricey. The extra charge for using a credit card is unwelcome.",4,5,5,3
338,RobertB,"Halibut was perfect service was attentive
Always the best",5,5,5,5
339,Woody93,Be aware that Blacksalt will charge a 4% fee if you pay by credit or debit card!,3,4,4,4
340,Chevy,"Delicious seafood dinner at BlackSalt, very fresh fish and friendly service.",4,5,4,4
341,MKVa,Back at the restaurant after sometime and overall experience was disappointing.,2,3,2,3
342,dhva,"BlackSalt is always a great meal. The staff is knowledgable and friendly, and the food is always outstanding. Each room has a unique feel, allowing for different experiences for repeated visits. We went for my wife's birthday and they even covered little details like wishing her happy birthday on our menus. Small gestures that improve the overall experience!",5,5,5,4
343,MartyS,Black Salt is a neighborhood treasure with incredibly fresh seafood. The service team is top-notch and we appreciate the outstanding wine list. We will be back again soon.,5,5,5,5
344,Bethel,"Wonderful food, lively atmosphere, great service! I always enjoy dining here!",5,5,5,5
345,JayB,Definitely the best seafood dinner I have  had in DC area. The wait staff was engaged and very accommodating.A thoroughly enjoyable experience.,5,5,5,5
346,PetePM187,Our halibut came with a asparagus mash that was unbelievable. Crab cakes are the best I've eaten in my life; peaches and berries were also outstanding. You would not expect this quality of food as you approach the entrance (fish store).  We'll comeback.,5,5,5,5
347,DougB,Used to be my favorite restaurant in DC. Been going for over 13 years. Still good but has lost a bit of its quality. Main course came before appetizers were finished. The seafood stew was fresh but not well seasoned.,3,3,4,4
348,OpenTable Diner,BlackSalt is one of our favorite DC area restaurants. Get have the freshest seafood and excellent service. This restaurant is a must for anyone that loves seafood!!,5,5,5,5
349,JGJ2,"Food is unexcelled and the service was top-notch.  I asked for a relatively minor modification to the way my entree was listed on the menu -- it was a lobster roll, which I asked to be prepared in the so-called ""Connecticut"" style, i.e., with butter instead of mayonnaise, and warmed up -- and the kitchen was entirely accommodating.  The restaurant was busy on a Friday at lunchtime and there was a high level of noise from other patrons, which made it somewhat difficult to hold a conversation with my dining companion.  And the experience will make a generous dent in your wallet.  But overall the lunch was well worth it, and I won't hesitate to return.",5,5,5,4
350,IraH,Some of her best seafood in DC! Ipswich clams are a must!,5,5,5,5
351,LASandy,What a wonderful evening. I would have preferred the crab without all the shrimp and ham in my corn. I  feel crab is delicious enough not to fuss with it as much as you do. The tomato heirloom salad was magnificent. Thank you for a lovely evening.,5,4,5,5
352,BobZ,"Food was magnificent, surpassed only by Will's attentive but not intrusive service.",5,5,5,5
353,OpenTable Diner,Delicious oysters and soft shell crab. Chef JG is fabulous!,5,5,5,5
354,Foodie123,"I wanted to like this place.  The staff was wonderful, but food was disappointing.  Very expensive, plus they add four percent to the bill if you don’t pay in cash and use a credit card.",4,4,5,5
355,OpenTable Diner,Outstanding meal.  Definitely plan to return sometime in The future.,5,5,5,5
356,Didi74,Went early so noise level was managable. Best fried clams to be found inland!,5,5,5,3
357,joans,"Expensive, but seafood is. This is top quality.
Plan to park on the street.",5,4,5,5
358,Jape,"Family birthday celebration with kids aged 5 and 7. First off, the food was DELICIOUS. The seafood was delicately cooked and seasoned perfectly, with great flavour pairings. Even the kids’ fish sticks were Devine (though maybe too devine for them, since they barely ate them!). The service was attentive and nice to us as a family. We didn’t feel unwelcome at all.

Two things could have made it better. 1 - they add a credit card fee, framed as a cash discount. I found this to be outdated and added unnecessary and unexpected cost to the bill. Who does this now?? Almost enough to put us off returning. 2 - they gave us bespoke menus for the birthday, which was a nice touch. I asked for a cake or at least a candle in the dessert. We got nothing, so I had an awkward conversation with my wife on the way home! 

Overall, though, the quality of the food makes me recommend it. They just need to get with the times and get rid of the credit card charge",4,5,4,4
359,SteveN,"Been coming here for several years, always a delicious meal.  And if you want a good wine selection, talk to JJ.  He has never steered us wrong.",5,5,5,5
360,StephenB,"Very fresh seafood, well prepared and generous portions. Excellent server.",4,4,5,4
361,OpenTable Diner,I have always dined magnificently at Black Salt-/one of my favorite places for seafood and so much else here in DC!,5,5,4,5
362,OpenTable Diner,"Very very slow meal. Service poor. One entree forgotten. We eat here frequently, and we were very disappointed with tonight’s experience.",2,4,1,3
363,AnaS,We were celebrating my birthday. Will was our server and made the experience wonderful..,5,5,5,5
364,ArezouG,"I had dined at Black Salt many times before but I noticed how overpriced everything had become. One person in our party asked for something other than fish and they offered ribeye. It was a very average cut, but charged $79 for it when the check arrived. With 10% DC food tax and 25% tip, one meal alone came to be $107!!! Way too overpriced and nothing at all special about anything. Service was excellent but again considering everything, $600 for dinner for 4 people????
Will never ever go back there again.",3,4,4,2
365,SJLDW,"We loved the food and service overall. The downside was that I would have preferred the option of having one crab cake instead of two. As a tourist, it wasn’t feasible to request a box for the leftovers. At $60, I also wasn’t willing not to complete my meal. Otherwise, great place, and we’ll definitely return if we travel to NYC again. However, I probably won’t order the crab cakes.",4,5,5,5
366,Anonymous,"Food was excellent. Exceptionally fresh and prepared in imaginative, delicious ways. Highly recommend.",5,5,5,4
367,john,One of the best meals we have had in a long time. Black's is always consistent and never disappointed. A neighborhood gem.,5,5,5,5
368,comfortFrenchfood,"Comfortable smart casual space with excellent food, wine and service. If you like oysters theirs are as fresh as they come.",5,5,5,5
369,ESUS,"Lovely neighborhood restaurant that has been solid since it opened years ago. The service was helpful and courteous - I requested a quiet booth but was not given one upon arrival. The maitress d' accommodated us (altho it took longer than it should have). The calamari was a standout - very tender and crunchy - and a large portion. My seared tuna was perfectly cooked but note it is served with a heavy sauce. Table service was a little rough (forks forgotten, elbows in my face) but cheerful and well-meaning.",4,4,4,3
370,ameehan90,"The halibut was tremendous, so good!",5,5,5,5
371,BillyT,"What can we say. Since our first visit in 2017 this our go to seafood restaurant.  The quality of ingredients far and exceeds other restaurants we have experienced, to include Michelin started restaurants. Service is professional yet intimate. Very flexible with personal requests. In all a true gem and a must for foodies.",5,5,5,5
372,Wooly,Our family lunch at Black Salt was a total delight. The food was outstanding and the service could not have been better. Particularly delicious mussels!,5,5,5,5
373,JD2023,Fresh ingredients and good pairings.  Staff knowledgeable about the menu and made helpful recommendations.  Parking in that neighborhood can be a little tricky while construction is going on next block over (this note made June 2023).,5,5,5,5
374,CFroe,We return over and over again to Blacksalt because of the quality of the experience.  The food and service are consistently fantastic.  We love the oysters and the fish is prepared in the most creative and delicious ways without being pretentious.  We also love the after dinner drink menu.  Blacksalt is wonderful!!,5,5,5,4
375,Max88,"If you're looking for New England (Ipswich) fried clams, they have them and well prepared.",5,5,5,4
376,AHD1,We had a very nice meal.  Our appetizer of hummus and condiments was excellent.  The fish tacos were really delicious and I would order them again.  My guest loved the flourless chocolate cake.  The ambience is very pleasant too.  The weak part of the experience was the service.  Our server acted like she was working at a diner.  The service did not match the quality of the food.,4,4,2,5
377,Lovesbubbly,"Have been here multiple times. Loved everything, the food is delicious.",5,5,4,5
378,michaelC,"Food was memorable.
Soft shells and Lump crab cakes were amazing. Red snapper was fresh, cooked perfectly and creatively

Only drawback - Small room, noisy at times.",5,5,5,4
379,Historyteacher,"Our party of three enjoyed the Ipswich clams and calamari as appetizers.  We enjoyed our cocktails; Parasol and the whiskey based one (sorry forgot its’ name).  Our entrees; crab cake, halibut, and dover sole all incredibly delicious and cooked to our various requests.  The sole was expertly filleted at the table by our delightful waiter.  We enjoyed the Spanish white (Alberino?) wine to accompany the main meal.  We ordered the pavlova, banana tart, and berry parfait all three of which were delicious.
While we don’t come here frequently for lunch (always a special treat), we are never disappointed when we can visit.",5,5,5,5
380,Luvgoodfood,This restaurant was recommended   They were 100% right. Great food and service. Delicious options for dinner from appetizers thru dessert. You won’t be disappointed.,5,5,5,4
381,DavidB,Wonderful experience - food and service. We’ll definitely be back often.,5,5,5,4
382,allforfoodfoodforall,"Wonderful! We were there for lunch for a celebration, and it was perfect. Elegant, fantastic food, really great service, we could not have asked for more. Our server was very good at making recommendations and explaining menu items, and he was even more helpful in making sure one of our party who is allergic to shellfish have a safe meal. Love this place, this food and this level of service!",5,5,5,5
383,OpenTable Diner,"A truly memorable birthday dinner experience from every point of view.
Absolutely attentive and unparalleled service from our server Monique. She and the team rallied together and made sure all the small details were attended to, including putting my name on a birthday version of the menu.
Highly recommended.",5,5,5,5
384,victan,"Wonderful if pricey seafood restaurant, with highly professional and pleasant staff.",4,4,5,4
385,kathrync,The food was great and the service very good.  Excellent when we got there but as they got busy it slowed down a little. Servers know the menu and help each other out making sure things are brought timely to table.,5,5,4,5
386,LauraB,"This restaurant is way overpriced for the quality of the food. I think it has gone downhill, food wise, while the prices have gone up. ￼ I will not go back.",3,3,4,3
387,Panerai,"The food can be better, I was disappointed even though they have a fresh fish market.",5,1,5,5
388,JuliaK,"One of the best meals of my life. My party of three got hackelback caviar, hamachi tartare, and lobster gyoza as starters. The hamachi tartare was especially good, but all three were quite memorable. For entrees we got crab cakes, halibut, and the seafood stew. They were all magnificent, but I think the crab cakes stood out the most. I usually don’t order them because most places use too much cake and not enough crab, but these were crab-centric and amazing. For desert we got the key lime pie, tropical ricotta cheesecake, and chocolate torte. The key lime pie was my favorite. The bartender also invented a mocktail for me. I said I like fruit and spicy drinks and he gave me an amazing mixture of lime juice, ginger, chili, and mint. LOVED it.",5,5,5,5
389,OpenTable Diner,Amazing food !  Fish is so great there. Need to go back soonest!,5,5,5,5
390,EdfromNoVa,"Great place for seafood lovers, less so for those whose protein preferences include legs. That said, everything was prepared, served and consumed with great efficiency.",5,5,5,4
391,Byron,"Outstanding restaurant in a quiet quaint peaceful DC neighborhood - sadly a rarity these days. The food was delicious and well presented. We had the seafood tower, ahi tuna, branzino and halibut. No complaints whatsoever - everything was delicious. The wine list has a terrific selection of wines. The service was elegant l, competent and friendly. It had been a few years since BCE we dined at Black Salt and now we can’t wait to return. Cheers!!!",5,5,5,5
392,DCfoodie,"Seafood seafood seafood! For the first time we did not get the seafood tower.  We thought we owed the rest of the menu a look. There's a yummy Spanish seafood stew, a luscious appetizer with shrimp and crabmeat and avocado and other delights put together like a trifle, a variety of delicious oysters, and a healthy salad of grain and lettuce and fava beans. Last night we ate in the quiet dining room. It was full of people eating and talking but you could hear your table mates as if you had the room to yourselves. The wait staff are knowledgeable, helpful and friendly. It was another great evening.",5,5,5,5
393,TrishS,"We love this place, and it's our go-to for a special meal with friends from out of town, or for Sunday Brunch. This time, we had family visiting from overseas. Nobody could agree on who ordered the best thing - everything was delicious, impeccably presented, and just beautifully prepared. Our server was very friendly and efficient, and the atmosphere on a Friday night - busy, bustling but never noisy - was lovely (the booths in the back half of the restaurant are comfortable, cosy and quiet. We'll be back, again and again.",5,5,5,5
394,none,Great place for a birthday. Apps were large portions so we couldn't make it to order dessert.,5,5,5,4
395,GreatFinds,Amazing food and staff!! The crab cakes are fabulous!,5,5,5,5
396,AllanM,"Still among the very best, if not the best, seafood restaurants in the city.",5,5,5,4
397,UrsulaC,"Excelentes platillos. Muy recomendable el pescado a la sal, de los mejores que he comido. El barrio donde está es muy tranquilo y bonito. Ambiente familiar, los precios son altos, pero vale la pena.",5,5,5,5
398,BethesdaDiner,"Excellent food, Excellent Service. A bit too noisy indoors. Would surely visit again.",5,5,5,5
399,BrianS,Great food and great service.  Looking forward to going there again.,5,5,5,5
400,OpenTable Diner,"Unfortunately, Black Salt has gone downhill. The food was bland and overpriced.",2,2,3,3
401,Isabel,Really wonderful upscale spot for delicious and fresh seafood! Can’t wait to go back and try one of the seafood towers.,5,5,5,5
402,BeauF,Everything was great. Service was excellent. Food delicious.,5,5,5,5
403,mabelm,Great branch and my wife spent there a great mothers day. Quality and service as great as pre pandemic. Somethind not common nowaday.,5,5,5,5
404,BillyT,"Our go to seafood restaurant. Based upon the food quality and creativity this should be a Michelin starred restaurant. Over quality of the food, creativity of dishes, consistency of never having had a bad meal, makes this one of DC’s must go to restaurants.",5,5,5,5
405,SeniorFoody,Great food. Accommodating and professional staff.  Used vacuum cleaner and irons in dining room with guests present which is rude beyond woods.,5,5,5,4
